Word;Translation;State
"act to";разыгрывать;0
"add on";прибавлять;0
"add up";сходиться;0
"answer back";огрызаться;0
"answer to";соответствовать;0
"ask after";"справляться о";0
"attend to";обслуживать;0
"back out";отступаться;0
"back up";"поддержать, прикрыть";0
"bank on";"надеяться, полагаться";0
"bear out";поддерживать;0
"bear up";держаться;0
"beat down";"хлестать, палить";0
"belt out";горланить;0
"belt up";заткнуться;0
"blast off";взлетать;0
"blot out";заслонять;0
"blow out";задуть;0
"blow over";"пройти, утихнуть";0
"boil down to";"сводиться к";0
"book in";регистрироваться;0
"bottle up";"держать в себе";0
"box off";окружать;0
"break down";ломаться;0
"break in";"вламываться, вмешиваться";0
"break off";"прерывать, расторгать";0
"break open";взламывать;0
"break out";"вспыхнуть, разразиться";0
"break through";"прорываться сквозь";0
"bring about";"вызывать, порождать";0
"bring back";вернуть;0
"bring down";"сбрасывать, свергать";0
"bring forward";выдвигать;0
"bring in";вводить;0
"bring off";заключать;0
"bring out";выпустить;0
"bring round";"приводить в чувство";0
"brush aside";отметать;0
"brush past";"проноситься мимо";0
"brush up";освежать;0
"build on";"нарастить, развить";0
"build up";наращивать;0
"bump along";"трястись по";0
"bump into";"случайно встретить";0
"bundle off";отсылать;0
"bundle out";"быстро уходить";0
"burst into";врываться;0
"burst open";распахиваться;0
"burst out";разразиться;0
"buy in";закупать;0
"buy into";"входить в долю";0
"buy off";подкупать;0
"buy out";выкупать;0
"buy up";скупить;0
"buzz off";отваливать;0
"call at";"останавливаться в";0
"call back";перезвонить;0
"call for";"требовать, взывать";0
"call off";отменить;0
"call on";"обратиться, попросить";0
"call out";кричать;0
"carry on";продолжать;0
"carry out";выполнить;0
"cast aside";отвергать;0
"catch on";"становиться популярным";0
"catch up";нагонять;0
"catch up with";догнать;0
"chance on";"случайно наткнуться на";0
"chase up";напоминать;0
"chat up";заигрывать;0
"check in";вселиться;0
"check off";отмечать;0
"check out";"посмотреть, заценить";0
"check up";"наводить справки";0
"cheer up";взбодриться;0
"chill out";расслабиться;0
"chip in";встревать;0
"clear off";"убраться вон";0
"climb down";уступать;0
"close in";опускаться;0
"close off";огораживать;0
"come across";встретить;0
"come along";"появиться, прийти";0
"come apart";разваливаться;0
"come by";"найти, заполучить";0
"come forward";вызываться;0
"come in for";подвергаться;0
"come off";отвалиться;0
"come on";включаться;0
"come round";"приходить в себя";0
"come through";"пережить, перенести";0
"come up against";сталкиваться;0
"come up with";придумать;0
"cool down";остыть;0
"count on";рассчитывать;0
"count up";подсчитывать;0
"cover up";"прикрывать, покрывать кого-либо";0
"crack down on";"расправляться с";0
"crack up";"лопаться от смеха";0
"cross out";вычеркнуть;0
"cry off";отказываться;0
"cut off";"отрезать, отключить";0
"cut out";отключить;0
"deal in";заниматься;0
"die away";замирать;0
"die down";утихнуть;0
"dig into";докапываться;0
"do away with";"покончить, избавиться";0
"do up";"привести в порядок";0
"do without";"обойтись без";0
"double back";"разворачиваться и идти назад";0
"double up";"сгибаться пополам";0
"draw back";отпрянуть;0
"draw in";подъезжать;0
"draw on";использовать;0
"draw out";растягивать;0
"draw up";составить;0
"dream up";придумать;0
"dress up";нарядиться;0
"drink in";упиваться;0
"drive off";отбрасывать;0
"drive out";выгнать;0
"drop in";"заглядывать к кому-либо";0
"drum up";призывать;0
"dwell on";остановиться;0
"ease off";"становиться тише, замедляться";0
"eat away";разъедать;0
"eat out";"есть не дома";0
"enter upon";начинать;0
"explain away";"находить оправдание";0
"fade in";"постепенно увеличивать, усиливать";0
"fade out";"постепенно уменьшать, ослаблять";0
"fall apart";разваливаться;0
